#
ChainAndPlate;1;Rusty Hauberk;5;33
ChainAndPlate;2;Chainmail;10;40
ChainAndPlate;3;Chain and Plate;15;47
ChainAndPlate;4;Plate;20;54
ChainAndPlate;5;Zealous Conviction;25;61
BanditsOvercoat;1;Worn Overcoat;10;23
BanditsOvercoat;2;Durable Overcoat;15;28
BanditsOvercoat;3;Padded Overcoat;20;33
BanditsOvercoat;4;Bandit's Overcoat;25;38
BanditsOvercoat;5;The Uncatchable;30;43
SilkAndPlate;1;Worn Cloth and Plate;0;24
SilkAndPlate;2;Light Cloth and Plate;5;29
SilkAndPlate;3;Fine Cloth, Hammered Plate;10;34
SilkAndPlate;4;Silk Robes, Hardened Plate;15;39
SilkAndPlate;5;The Blessed Bulwark;20;44
